#HJD          Cam  mag   mag_err  flux (mJy)   flux_err (mJy)
#              (5 sigma limits) 
#Cam: Hawaii=abcd Chile1=defg Chile2=ijkl SAAO=mnop Texas=qrst
2456229.02696	bb	12.38	0.021928865734210146	40.224	0.812
2456348.78221	ba	12.517	0.021928865734210146	37.771	0.762
2456507.10459	bb	12.418	0.021928865734210146	38.85	0.784
2456508.10307	ba	12.518	0.01644664930065761	37.724	0.571
2456508.1034	bb	12.508	0.021928865734210146	35.733	0.721
2456514.07381	bb	12.618	0.01644664930065761	32.282	0.488
2456519.04673	bb	12.482	0.021928865734210146	36.598	0.738
2456521.07837	ba	12.789	0.027411082167762682	29.387	0.741
2456521.07872	bb	12.738	0.021928865734210146	28.908	0.583
2456524.06518	bb	12.912	0.04385773146842029	24.644	0.994
2456525.07827	ba	12.603	0.027411082167762682	34.882	0.88
2456525.07863	bb	12.642	0.03289329860131522	31.576	0.956
2456528.06345	ba	12.928	0.04385773146842029	25.87	1.044
2456528.06381	bb	12.894	0.04385773146842029	25.061	1.011
2456537.00907	ba	12.455	0.01644664930065761	40.001	0.605
2456537.00943	bb	12.439	0.021928865734210146	38.065	0.768
2456538.05393	ba	12.566	0.010964432867105073	36.104	0.364
2456538.05429	bb	12.562	0.01644664930065761	34.029	0.515
2456540.05125	bb	12.656	0.01644664930065761	31.178	0.472
2456550.03321	bb	12.898	0.03289329860131522	24.947	0.755
2456555.04546	bb	12.746	0.03837551503486775	28.699	1.013
2456557.03001	ba	12.609	0.027411082167762682	34.701	0.875
2456557.03035	bb	12.64	0.027411082167762682	31.633	0.798
2456569.96853	ba	12.731	0.021928865734210146	31.024	0.626
2456574.00461	bb	12.656	0.01644664930065761	31.205	0.472
2456593.97372	ba	12.424	0.021928865734210146	41.143	0.83
2456597.9746	ba	12.452	0.01644664930065761	40.11	0.607
2456597.97478	bb	12.522	0.01644664930065761	35.325	0.534
2456600.96349	bb	12.396	0.021928865734210146	39.654	0.8
2456618.88657	bb	12.692	0.027411082167762682	30.19	0.761
2456621.89277	ba	12.966	0.04385773146842029	24.981	1.008
2456625.90597	bb	12.904	0.03837551503486775	24.828	0.877
2456629.89187	bb	12.792	0.027411082167762682	27.511	0.694
2456629.89188	ba	12.787	0.027411082167762682	29.445	0.743
2456638.89974	ba	12.371	0.027411082167762682	43.216	1.09
2456648.86652	bb	12.724	0.021928865734210146	29.303	0.591
2456656.76261	bb	12.642	0.01644664930065761	31.578	0.478
2456676.81799	ba	12.469	0.01644664930065761	39.47	0.597
2456700.80384	bb	12.916	0.04385773146842029	24.564	0.991
2456874.10851	ba	12.836	0.03837551503486775	28.155	0.994
2456874.10883	bb	12.846	0.03837551503486775	26.179	0.924
2456875.09742	ba	12.525	0.01644664930065761	37.479	0.567
2456875.09774	bb	12.558	0.01644664930065761	34.141	0.517
2456876.09935	ba	12.461	0.01644664930065761	39.751	0.601
2456876.09968	bb	12.48	0.01644664930065761	36.703	0.555
2456882.07764	ba	12.695	0.03837551503486775	32.042	1.131
2456882.07798	bb	12.718	0.04385773146842029	29.452	1.188
2456883.08495	ba	12.405	0.021928865734210146	41.876	0.845
2456883.08529	bb	12.394	0.03289329860131522	39.68	1.201
2456885.08723	ba	12.865	0.04385773146842029	27.401	1.106
2456885.08758	bb	12.896	0.04385773146842029	25.026	1.01
2456892.07812	ba	12.777	0.027411082167762682	29.715	0.749
2456892.07848	bb	12.766	0.027411082167762682	28.176	0.711
2456893.07455	ba	12.802	0.03289329860131522	29.044	0.879
2456893.07491	bb	12.86	0.03837551503486775	25.832	0.912
2456894.07437	bb	12.482	0.021928865734210146	36.615	0.739
2456897.07067	ba	12.729	0.027411082167762682	31.055	0.783
2456897.07104	bb	12.756	0.027411082167762682	28.433	0.717
2456898.06312	ba	12.45	0.01644664930065761	40.182	0.608
2456900.0678	ba	12.887	0.03837551503486775	26.849	0.948
2456903.06002	ba	12.648	0.01644664930065761	33.467	0.506
2456904.061	ba	12.89	0.03837551503486775	26.787	0.946
2456904.06136	bb	12.908	0.03837551503486775	24.734	0.873
2456905.05564	ba	12.538	0.010964432867105073	37.031	0.374
2456905.05601	bb	12.546	0.01644664930065761	34.518	0.522
2456908.04713	ba	12.792	0.03837551503486775	29.323	1.035
2456908.0475	bb	12.804	0.03837551503486775	27.24	0.962
2456910.00706	ba	12.454	0.027411082167762682	40.023	1.009
2456910.00743	bb	12.466	0.027411082167762682	37.171	0.937
2456917.97736	ba	12.56	0.01644664930065761	36.315	0.549
2456917.97771	bb	12.58	0.01644664930065761	33.486	0.507
2456918.97978	ba	12.894	0.03837551503486775	26.679	0.942
2456918.98014	bb	12.94	0.03837551503486775	24.009	0.848
2456920.13863	ba	12.534	0.01644664930065761	37.179	0.563
2456920.13898	bb	12.576	0.01644664930065761	33.556	0.508
2456924.03538	bb	12.502	0.021928865734210146	35.925	0.725
2456925.03018	ba	12.444	0.01644664930065761	40.388	0.611
2456925.03052	bb	12.482	0.01644664930065761	36.648	0.555
2456972.81691	ba	12.542	0.01644664930065761	36.893	0.558
2456979.94176	ba	12.64	0.01644664930065761	33.718	0.51
2456981.95293	ba	12.622	0.010964432867105073	34.29	0.346
2456981.95301	bb	12.62	0.010964432867105073	32.222	0.325
2456983.92184	ba	12.604	0.010964432867105073	34.872	0.352
2456983.9219	bb	12.58	0.01644664930065761	33.463	0.506
2456984.92646	ba	12.433	0.021928865734210146	40.798	0.823
2456984.92651	bb	12.455	0.021928865734210146	37.51	0.757
2456986.94197	ba	12.822	0.03289329860131522	28.508	0.863
